Order-Id,Item-id,Product-Id,Quantity,Sales-Id,Customer-Id,Sales-Price-Per-Prod
0,0,5,28,7,26,118
1,1,2,16,3,25,217
2,2,9,14,0,8,44
3,3,7,4,1,21,147
4,4,7,0,1,15,122
5,5,7,28,0,14,156
6,6,14,24,5,2,180
7,7,17,17,9,2,192
8,8,8,29,9,15,114
9,9,12,24,2,8,81
10,10,0,26,6,22,123
11,11,17,22,4,7,194
12,12,12,6,0,28,86
13,13,19,4,4,29,87
14,14,7,29,2,21,121
15,15,10,5,4,1,130
16,16,1,22,1,13,198
17,17,8,4,5,10,131
18,18,8,18,4,24,173
19,19,15,27,5,12,219
20,20,16,25,9,29,154
21,21,2,19,9,9,218
22,22,14,1,4,26,193
23,23,19,21,9,2,119
24,24,9,10,1,24,87
25,25,4,17,7,8,193
26,26,6,4,6,13,77
27,27,10,23,2,24,147
28,28,16,14,2,5,154
29,29,13,12,4,20,129
30,30,1,3,3,18,188
31,31,7,11,1,11,128
32,32,10,24,3,7,155
33,33,18,23,1,6,91
34,34,11,0,2,6,98
35,35,4,24,5,0,172
36,36,6,17,9,8,57
37,37,15,15,7,21,194
38,38,13,17,0,2,129
39,39,17,19,5,15,183
40,40,12,11,2,22,92
41,41,5,16,7,23,131
42,42,4,22,5,13,151
43,43,2,13,4,25,199
44,44,17,4,9,5,192
45,45,10,0,2,8,119
46,46,4,29,8,4,167
47,47,9,23,1,7,104
48,48,15,17,5,15,202
49,49,9,17,0,14,79
50,50,7,16,9,26,125
51,51,4,26,4,17,172
52,52,0,7,1,7,123
53,53,17,1,6,21,201
54,54,11,1,1,16,99
55,55,11,16,4,20,131
56,56,1,25,8,28,200
57,57,7,25,5,26,141
58,58,8,6,5,15,141
59,59,15,19,0,0,180
60,60,4,2,8,7,185
61,61,17,26,8,10,194
62,62,19,9,1,3,105
63,63,11,27,1,25,99
64,64,18,7,0,10,102
65,65,14,5,3,1,180
66,66,8,20,2,8,195
67,67,3,24,4,19,166
68,68,4,5,8,13,167
69,69,11,12,1,15,103
70,70,11,26,1,28,127
71,71,7,0,9,8,129
72,72,17,22,4,10,197
73,73,6,3,0,28,71
74,74,5,17,4,25,126
75,75,12,3,9,17,82
76,76,1,20,9,5,177
77,77,19,17,5,20,77
78,78,15,18,7,9,192
79,79,3,9,0,16,182
80,80,14,29,0,8,179
81,81,13,18,8,27,99
82,82,9,24,7,6,85
83,83,13,26,6,5,94
84,84,4,9,7,1,162
85,85,4,9,2,12,165
86,86,17,2,5,20,203
87,87,12,29,6,10,99
88,88,4,23,0,17,175
89,89,4,25,8,16,135
90,90,15,26,6,17,190
91,91,0,9,9,14,123
92,92,8,25,7,23,178
93,93,12,22,9,4,78
94,94,16,16,0,4,154
95,95,0,29,6,6,123
96,96,13,22,6,9,101
97,97,14,16,2,3,185
98,98,6,0,9,26,56
99,99,19,15,7,26,86
100,100,15,12,7,13,203
101,101,16,18,3,26,161
102,102,14,21,5,17,189
103,103,2,17,7,23,200
104,104,11,24,4,3,136
105,105,5,22,1,18,116
106,106,10,4,4,16,149
107,107,10,12,5,28,124
108,108,8,5,2,25,149
109,109,18,2,4,27,83
110,110,15,5,4,12,219
111,111,0,12,2,18,122
112,112,18,15,9,24,86
113,113,19,27,2,21,76
114,114,4,8,0,28,133
115,115,13,5,8,27,101
116,116,3,5,2,25,165
117,117,4,1,0,15,145
118,118,9,11,8,6,76
119,119,8,14,3,26,146
120,120,9,17,8,9,95
121,121,9,21,9,2,87
122,122,18,13,1,12,98
123,123,2,25,0,6,202
124,124,14,23,2,4,180
125,125,4,25,8,16,151
126,126,12,0,2,29,85
127,127,18,5,8,0,101
128,128,8,4,6,8,200
129,129,15,15,5,23,210
130,130,13,16,3,29,93
131,131,12,16,1,4,88
132,132,4,26,4,25,151
133,133,5,20,7,15,123
134,134,9,15,8,0,90
135,135,12,13,8,20,79
136,136,4,0,7,13,154
137,137,17,0,3,7,193
138,138,5,1,4,20,118
139,139,9,24,7,11,65
140,140,1,27,5,17,186
141,141,14,28,2,17,194
142,142,12,27,9,19,91
143,143,0,21,1,28,123
144,144,16,27,5,13,160
145,145,3,17,9,14,167
146,146,5,19,0,27,128
147,147,13,8,0,8,100
148,148,19,10,4,26,88
149,149,0,22,6,27,119
150,150,12,22,0,17,109
151,151,12,24,5,18,110
152,152,16,13,8,2,150
153,153,17,11,3,0,198
154,154,5,3,9,22,139
155,155,4,16,6,27,147
156,156,16,4,0,21,161
157,157,18,21,5,18,62
158,158,3,4,3,9,193
159,159,0,17,7,5,122
160,160,6,11,9,3,72
161,161,15,10,2,17,194
162,162,18,7,9,5,70
163,163,7,8,6,11,121
164,164,10,16,2,12,156
165,165,8,18,2,23,151
166,166,4,5,9,14,134
167,167,12,11,4,27,92
168,168,18,29,8,2,88
169,169,10,3,0,29,119
170,170,18,15,0,14,65
171,171,19,24,8,3,114
172,172,6,10,4,10,43
173,173,4,29,3,7,144
174,174,14,11,5,2,179
175,175,3,15,7,10,199
176,176,7,14,3,11,135
177,177,9,28,4,10,87
178,178,14,13,8,20,178
179,179,0,28,4,15,119
180,180,18,8,6,23,57
181,181,10,23,4,15,159
182,182,16,13,8,18,160
183,183,8,8,3,22,188
184,184,9,14,5,20,80
185,185,17,11,2,10,205
186,186,18,5,5,29,77
187,187,15,16,9,23,183
188,188,8,28,3,11,138
189,189,1,19,8,11,174
190,190,9,8,8,25,66
191,191,12,19,7,25,93
192,192,3,17,8,6,200
193,193,4,12,0,28,160
194,194,5,13,5,11,123
195,195,16,17,8,26,161
196,196,11,14,6,15,124
197,197,3,25,5,20,180
198,198,7,1,4,3,143
199,199,9,28,5,12,101
200,200,16,1,1,22,152
201,201,17,1,8,5,190
202,202,6,20,8,4,57
203,203,15,29,7,28,202
204,204,9,20,1,12,59
205,205,12,26,1,7,110
206,206,17,22,7,28,200
207,207,8,3,6,18,150
208,208,4,23,2,2,182
209,209,13,4,2,22,87
210,210,15,1,3,15,218
211,211,3,29,1,15,187
212,212,17,25,0,15,197
213,213,15,9,8,10,220
214,214,2,29,7,12,201
215,215,4,28,2,16,174
216,216,1,9,8,29,189
217,217,15,7,7,6,197
218,218,18,3,7,27,57
219,219,10,14,0,12,134
220,220,8,5,2,20,156
221,221,15,6,9,2,188
222,222,14,8,0,4,189
223,223,13,25,4,25,119
224,224,16,24,2,7,159
225,225,16,27,1,12,154
226,226,9,4,5,11,79
227,227,5,1,7,12,126
228,228,1,1,0,10,175
229,229,14,23,7,0,197
230,230,1,14,4,2,209
231,231,17,2,0,23,203
232,232,7,25,5,11,160
233,233,8,1,4,2,137
234,234,13,20,5,21,145
235,235,10,8,7,22,159
236,236,19,16,1,18,100
237,237,13,7,1,18,100
238,238,1,4,3,21,192
239,239,9,18,7,10,54
240,240,5,4,6,7,116
241,241,3,29,2,3,216
242,242,0,8,3,1,122
243,243,9,27,8,20,57
244,244,15,2,8,15,179
245,245,2,1,8,13,219
246,246,3,19,1,4,215
247,247,12,10,6,18,105
248,248,19,28,0,27,119
249,249,17,23,3,25,183
